Rank,Geographic Area,2019
593,"Chapel Hill town, North Carolina","64,051"
594,"Haverhill, Massachusetts","64,014"
595,"Lorain, Ohio","63,855"
596,"Grand Junction, Colorado","63,597"
597,"Springfield, Oregon","63,230"
598,"Coon Rapids, Minnesota","62,998"
599,"Idaho Falls, Idaho","62,888"
600,"North Miami, Florida","62,822"
601,"Encinitas, California","62,709"
602,"Skokie village, Illinois","62,700"
603,"Leander, Texas","62,608"
604,"Waltham, Massachusetts","62,495"
605,"Council Bluffs, Iowa","62,166"
606,"Hamilton, Ohio","62,082"
607,"Moore, Oklahoma","62,055"
608,"Pico Rivera, California","62,027"
609,"Montebello, California","61,954"
610,"Millcreek, Utah","61,450"
611,"Sanford, Florida","61,448"
612,"National City, California","61,394"
613,"Burnsville, Minnesota","61,339"
614,"Coconut Creek, Florida","61,248"
615,"Lakewood, Washington","61,037"
616,"Taylor, Michigan","60,922"
617,"Novi, Michigan","60,896"
618,"Marietta, Georgia","60,867"
619,"Ocala, Florida","60,786"
620,"Terre Haute, Indiana","60,622"
621,"Woodland, California","60,548"
622,"Petaluma, California","60,520"
623,"La Habra, California","60,513"
624,"Malden, Massachusetts","60,470"
625,"Commerce City, Colorado","60,336"
626,"Owensboro, Kentucky","60,131"
627,"Bristol, Connecticut","59,947"
628,"West Allis, Wisconsin","59,890"
629,"Taylorsville, Utah","59,805"
630,"Utica, New York","59,750"
631,"Monterey Park, California","59,669"
632,"Bonita Springs, Florida","59,637"
633,"Porterville, California","59,599"
634,"Greenwood, Indiana","59,458"
635,"Bartlett, Tennessee","59,440"
636,"Bradenton, Florida","59,439"
636,"Vineland, New Jersey","59,439"
638,"Pontiac, Michigan","59,438"
639,"Meriden, Connecticut","59,395"
640,"Gardena, California","59,329"
641,"Apex town, North Carolina","59,300"
642,"Royal Oak, Michigan","59,277"
643,"Cupertino, California","59,276"
644,"Lancaster, Pennsylvania","59,265"
645,"La Mesa, California","59,249"
646,"Gilroy, California","59,032"
647,"St. Clair Shores, Michigan","58,984"
648,"Des Plaines, Illinois","58,899"
649,"Springfield, Ohio","58,877"
650,"Corvallis, Oregon","58,856"
651,"Margate, Florida","58,796"
652,"Bowie, Maryland","58,643"
653,"Casa Grande, Arizona","58,632"
654,"Caldwell, Idaho","58,481"
655,"San Rafael, California","58,440"
656,"Great Falls, Montana","58,434"
657,"Sarasota, Florida","58,285"
658,"Richland, Washington","58,225"
659,"St. Peters, Missouri","58,212"
660,"Hendersonville, Tennessee","58,113"
661,"White Plains, New York","58,109"
662,"Huntersville town, North Carolina","58,098"
663,"Santee, California","58,081"
664,"Kokomo, Indiana","58,020"
665,"Arcadia, California","57,939"
666,"Casper, Wyoming","57,931"
667,"Dubuque, Iowa","57,882"
668,"Orland Park village, Illinois","57,857"
669,"Weymouth Town, Massachusetts","57,746"
670,"Parker town, Colorado","57,706"
671,"Palm Beach Gardens, Florida","57,704"
672,"Hanford, California","57,703"
673,"Huntington Park, California","57,509"
674,"Taunton, Massachusetts","57,464"
675,"Midwest City, Oklahoma","57,407"
676,"Medford, Massachusetts","57,341"
677,"Euless, Texas","57,197"
678,"Shoreline, Washington","57,027"
679,"Smyrna, Georgia","56,666"
680,"Pocatello, Idaho","56,637"
681,"Valdosta, Georgia","56,457"
